Comment,Designator,Footprint,LCSC
"2200uF","CMain_ServoVCC1,CMain_ServoVCC2","Capacitor_THT:C_Radial_D10.0mm_H16.0mm_P5.00mm",""
"10uF","C_PCA1","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"Schottky 30V25A","DMain1,DMain2","Diode_THT:D_P600_R-6_P12.70mm_Horizontal",""
"20A","FMain1,FMain2","Fuse:Fuse_Blade_Mini_directSolder",""
"MountingHole","H3,H2","MountingHole:MountingHole_3.2mm_M3",""
"Screw_Terminal_01x02","J1,J2","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""
"Conn_01x04","J_I2C1","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"A0","LP_PCA1","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"A1","LP_PCA2","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"A2","LP_PCA3","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"A3","LP_PCA4","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"A4","LP_PCA5","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"A5","LP_PCA6","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"PCA9685PW","PCA1","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm",""
"Green","PWR_LED1","LED_SMD:LED_0805_2012Metric",""
"10K","R1,R2,R3,R4,R5,R6,R7","Resistor_SMD:R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"200Ohm","RN1","Resistor_SMD:R_Array_Convex_4x1206",""
"200","RN2,RN3","Resistor_SMD:R_Array_Convex_4x1206",""
"0.05Ohm","RShunt1,RShunt2,RShunt3,RShunt4,RShunt5,RShunt6,RShunt7,RShunt8,RShunt9","Resistor_SMD:R_1210_3225Metric",""
"0.05","RShunt10,RShunt11,RShunt12","Resistor_SMD:R_1210_3225Metric",""
"470","R_PWR_LED1","Resistor_SMD:R_0805_2012Metric",""
"10K","R_SCL1,R_SDA1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
"Conn_01x03","S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"TestPoint","S1+1,S1-1,S2+1,S2-1,S3-1,S4+1,S4-1,S5+1,S5-1,S6+1,S6-1,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,S3+1","TestPoint:TestPoint_Pad_1.5x1.5mm",""